VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT
100,11602,1337,91370,5767,114067
200,26888,2697,160923,7043,172794
300,17387,4162,276106,8346,293267
400,26167,6495,419497,9883,431485
500,39655,6560,555247,11633,569570
600,26301,7942,680126,13171,698202
700,21062,9140,825977,14269,842868
800,26880,10489,968422,15190,984862
900,34034,11752,1107095,16324,1102082
1000,39951,13034,1258029,17469,1271422
1100,42825,14342,1369349,18237,1295209
1200,42377,15688,1508431,18217,1281758
1300,42237,16970,1660057,18184,1281562
1400,42298,18238,1814596,18152,1296793
1500,42327,19521,1903133,18103,1286039
1600,42454,21036,2069606,18562,1308417
1700,41966,22094,2201490,18033,1269933
1800,42497,23490,2295547,18343,1291685
1900,41971,24976,2474383,18188,1288584
2000,42244,25971,2613671,18048,1375669
2100,42061,27646,2788491,18854,1294305
2200,42337,29607,2890759,18937,1293777
2300,42760,30072,3047923,18428,1296525
2400,42229,31328,3183353,18313,1286266
2500,42208,35572,3308730,18607,1328235
2600,42985,33897,3411980,18431,1337177
2700,42075,35161,3547426,18274,1298782
2800,42097,37424,3701677,18768,1285958
2900,42173,37667,3843920,18635,1294390
3000,42094,39112,3991592,18322,1310917
3100,42448,40482,4184532,18570,1306252
3200,42062,41626,4248978,18517,1304747
3300,42414,43134,4412592,18481,1310111
3400,42541,44318,4558076,18517,1298624
3500,42582,46081,4721699,18513,1293065
3600,42781,47048,4879198,18378,1318074
3700,42576,48277,4994042,19080,1312790
3800,42865,49367,5138081,18468,1300761
3900,42592,50710,5291903,18792,1319394
4000,43046,54479,5413532,18454,1324524
4100,42355,53541,5551465,21619,1312398
4200,42377,54602,5760650,18688,1307928
4300,43272,56143,5901867,18823,1282901
4400,42559,57359,5995015,18731,1288395
4500,42541,58927,6137639,18785,1283560
4600,42540,60005,6267506,18658,1295647
4700,42484,61206,6438341,18676,1315101
4800,43637,63478,6590481,18934,1312107
4900,42711,63812,6717287,18906,1293335
5000,42726,65309,6851343,18699,1304477
5100,42780,66480,6983313,18750,1316866
5200,42546,68050,7154292,19538,1322297
5300,43521,70544,7365018,18839,1288495
5400,43066,70679,7377801,18900,1306493
5500,42854,72120,7517671,18888,1301593
5600,43353,73235,7678366,18859,1294578
5700,43042,75470,7875052,18985,1306051
5800,43554,75752,7974202,18964,1283752
5900,43122,77023,8182377,19018,1320689
6000,43350,78073,8166976,19115,1307370
6100,43068,81627,8367096,18855,1289612
6200,43904,82795,8553029,19089,1305317
6300,43059,85747,8741892,18993,1299529
6400,43390,84284,8876250,18996,1290359
6500,43423,84843,8949305,19226,1287541
6600,43682,86408,9086256,19101,1317206
6700,43453,87312,9320694,19158,1324819
6800,43681,95616,9469678,19316,1309858
6900,43246,91649,9583512,19117,1302502
7000,43462,91123,9741854,19205,1328431
7100,43498,92552,9916847,19054,1302614
7200,45145,93778,9999753,19285,1299564
7300,43181,95561,10199178,19435,1277458
7400,43510,96417,10240377,21685,1312261
7500,43661,98088,10506171,19136,1297323
7600,43636,99626,10645694,19249,1289492
7700,43576,100771,10751365,20329,1301860
7800,43534,102881,10860744,19209,1303991
7900,43631,104937,10970365,19300,1300345
8000,43500,104633,11165947,19420,1293014
8100,44008,106636,11318334,19188,1305899
8200,43541,107275,11524135,20063,1298689
8300,43670,110682,11648380,19388,1325188
8400,43640,110271,11804241,19369,1306680
8500,43782,111219,11954647,19511,1301342
8600,43871,114293,12114897,19463,1363189
8700,44137,113869,12369214,19478,1327113
96786,23333,127225
9300,43959,147783,200397,22713,123089
9400,43907,133553,181104,21085,117159
9500,44405,125039,201280,26886,150190
9600,44073,169390,231698,25035,133580
9700,43992,170997,218780,25344,130126
9800,43814,153979,203766,22365,131894
9900,44285,156409,201305,23411,118009
10000,43765,131167,185549,20098,117789
10100,43855,132391,195087,20808,117031
10200,43898,143839,182483,20608,113827
10300,43655,145228,189966,19631,118770
10400,43603,136420,229816,24914,138402
10500,44196,185046,231333,25439,118874
10600,44017,138111,197733,20222,127814
10700,44856,152032,200348,20970,115650
10800,44012,152373,192064,22926,117118
10900,43948,142952,200174,20882,118827
11000,44180,144484,196559,20958,121455
11100,44389,156539,193552,20509,120989
11200,44083,146174,197309,20482,122864
11300,44121,187799,218817,21827,113433
11400,43817,148865,197177,20205,123605
11500,44186,162083,192615,21261,114821
11600,44125,167706,195861,21485,115809
11700,44470,169060,192228,20448,119104
11800,44260,153071,199031,22130,121808
11900,44290,176638,201792,22265,118646
12000,44448,161239,193763,22836,124073
12100,44315,167089,200013,22510,116363
12200,44228,166857,205375,20889,118284
12300,44316,161591,209949,25402,136174
12400,44452,220500,244149,23017,122055
12500,44572,195801,218956,22915,126123
12600,44442,197854,219250,23303,116448
12700,44546,165597,211562,22487,117873
12800,44651,202622,226525,23763,122199
12900,44615,201960,217139,21603,114349
13000,44575,167563,211129,20507,116193
13100,44788,172216,205322,21682,131917
13200,44665,232601,267096,25254,146615
13300,44708,234401,249597,22911,121454
13400,44061,199350,209264,21038,119655
